name_english,name_indonesian,sex,total,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 to 110
Central Java,Jawa Tengah,all,36516035,2693960,2710110,2786708,2831695,2894078,2887095,2867814,2790093,2719673,2533548,2329070,2009757,1643868,1236283,780993,442945,236096,94008,24418,3823
East Java,Jawa Timur,all,40665696,2811948,2933302,2955928,3020928,3113065,3138006,3149810,3113813,3110656,2930712,2718504,2354326,1920712,1451323,931471,560320,297984,117885,30320,4683
West Kalimantan,Kalimantan Barat,all,5414390,472025,464542,473951,475528,481654,470833,458233,427834,393312,343588,283890,229264,173120,124158,69901,41975,20888,7643,1800,251
South Kalimantan,Kalimantan Selatan,all,4073584,368804,389349,338513,331675,338420,334725,331782,317736,304867,272207,230794,186554,136663,95128,48600,28246,13548,4759,1072,142
Central Kalimantan,Kalimantan Tengah,all,2669969,220362,221492,234669,237939,240486,236387,232208,217938,202393,175511,141664,111093,78626,53296,33817,19182,9012,3112,692,90
East Kalimantan,Kalimantan Timur,all,3766039,314784,314637,330168,332254,331727,326737,324194,306322,286736,250538,205197,161515,113998,75918,47374,26461,12258,4184,918,119
North Kalimantan,Kalimantan Utara,all,701814,58642,57065,64500,65312,64684,62963,61345,57069,52361,45026,35945,27955,19526,13188,8343,4723,2209,765,170,23
Bangka Belitung Islands,Kepulauan Bangka Belitung,all,1455678,119792,117452,125800,126577,125274,124206,125557,118971,110673,96834,79129,63869,48901,34807,20543,10075,4946,1793,419,60
Riau Islands,Kepulauan Riau,all,2064564,190488,190803,173608,172485,177522,179439,186058,176994,165155,140474,106452,79804,52272,33767,20542,11269,5192,1785,402,53
Lampung,Lampung,all,9007848,775885,779011,734716,732269,751551,744732,737946,702795,664076,593547,507495,418538,322514,235583,147995,90769,46250,17370,4201,605
Maluku,Maluku,all,1848923,159084,152813,179066,180737,178410,167506,151245,136204,121212,105222,88425,72586,56884,41819,28530,17164,8364,2924,644,84
North Maluku,Maluku Utara,all,1282937,121037,116982,121752,121303,121919,115944,107251,97370,87207,74752,60450,48122,35961,25348,14982,7571,3525,1181,250,30
